イシュー ID,説明,状態,重要度,ストーリー ポイント,プロジェクト パス,場所の種類,パス,線,列,インシデント ID,ヘルプ リンク,アセンブリ名,アセンブリ バージョン,アセンブリ公開キー,スニペット
NuGet.0003,NuGet パッケージの機能は、フレームワークの参照に含まれています,Active,Mandatory,1,Implem.CodeDefiner\Implem.CodeDefiner.csproj,File,Implem.CodeDefiner\Implem.CodeDefiner.csproj,,,System.Data.DataSetExtensions 4.5.0,,,,,"System.Data.DataSetExtensions, 4.5.0  レコメンデーション：  新しいフレームワーク参照に含まれるパッケージ機能"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Implem.CodeDefiner\Implem.CodeDefiner.csproj,File,Implem.CodeDefiner\Functions\Rds\TablesConfigurator.cs,37,16,P:System.Data.SqlClient.SqlException.Number,,,,,"Consoles.Write($""[{e.Number}] {e.Message}"", Consoles.Types.Error);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Implem.CodeDefiner\Implem.CodeDefiner.csproj,File,Implem.CodeDefiner\Functions\Rds\TablesConfigurator.cs,24,20,P:System.Data.SqlClient.SqlException.Number,,,,,"Consoles.Write($""[{e.Number}] {e.Message}"", Consoles.Types.Error);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Implem.CodeDefiner\Implem.CodeDefiner.csproj,File,Implem.CodeDefiner\Functions\Rds\Configurator.cs,23,16,P:System.Data.SqlClient.SqlException.Number,,,,,"Consoles.Write($""[{e.Number}] {e.Message}"", Consoles.Types.Error, true);"
NuGet.0002,NuGet パッケージのアップグレードをおすすめします,Active,Potential,1,Implem.CodeDefiner.NetCore\Implem.CodeDefiner.NetCore.csproj,File,Implem.CodeDefiner.NetCore\Implem.CodeDefiner.NetCore.csproj,,,System.Text.Encoding.CodePages 4.5.0,,,,,"System.Text.Encoding.CodePages, 4.5.0  レコメンデーション：  Remove System.Text.Encoding.CodePages, and replace with new package System.Text.Encoding.CodePages 10.0.1"
Project.0002,プロジェクトのターゲット フレームワークを変更する必要がある,Active,Mandatory,1,Implem.CodeDefiner.NetCore\Implem.CodeDefiner.NetCore.csproj,File,Implem.CodeDefiner.NetCore\Implem.CodeDefiner.NetCore.csproj,,,,,,,,現在のターゲット フレームワーク: netcoreapp2.2 推奨されるターゲット フレームワーク: net10.0
NuGet.0002,NuGet パッケージのアップグレードをおすすめします,Active,Potential,1,Implem.CodeDefiner.NetFramework\Implem.CodeDefiner.NetFramework.csproj,File,Implem.CodeDefiner.NetFramework\Implem.CodeDefiner.NetFramework.csproj,,,Newtonsoft.Json 12.0.1,,,,,"Newtonsoft.Json, 12.0.1  レコメンデーション：  Remove Newtonsoft.Json, and replace with new package Newtonsoft.Json 13.0.4"
NuGet.0003,NuGet パッケージの機能は、フレームワークの参照に含まれています,Active,Mandatory,1,Implem.CodeDefiner.NetFramework\Implem.CodeDefiner.NetFramework.csproj,File,Implem.CodeDefiner.NetFramework\Implem.CodeDefiner.NetFramework.csproj,,,System.IO.FileSystem.Primitives 4.3.0,,,,,"System.IO.FileSystem.Primitives, 4.3.0  レコメンデーション：  新しいフレームワーク参照に含まれるパッケージ機能"
NuGet.0002,NuGet パッケージのアップグレードをおすすめします,Active,Potential,1,Implem.CodeDefiner.NetFramework\Implem.CodeDefiner.NetFramework.csproj,File,Implem.CodeDefiner.NetFramework\Implem.CodeDefiner.NetFramework.csproj,,,System.IO.Packaging 4.5.0,,,,,"System.IO.Packaging, 4.5.0  レコメンデーション：  Remove System.IO.Packaging, and replace with new package System.IO.Packaging 10.0.1"
NuGet.0004,NuGet パッケージにセキュリティの脆弱性が含まれています,Active,Optional,1,Implem.CodeDefiner.NetFramework\Implem.CodeDefiner.NetFramework.csproj,File,Implem.CodeDefiner.NetFramework\Implem.CodeDefiner.NetFramework.csproj,,,Newtonsoft.Json 12.0.1,,,,,"Newtonsoft.Json, 12.0.1  レコメンデーション：  Newtonsoft.Json, 13.0.4"
NuGet.0004,NuGet パッケージにセキュリティの脆弱性が含まれています,Active,Optional,1,Implem.CodeDefiner.NetFramework\Implem.CodeDefiner.NetFramework.csproj,File,Implem.CodeDefiner.NetFramework\Implem.CodeDefiner.NetFramework.csproj,,,System.Data.SqlClient 4.6.0,,,,,"System.Data.SqlClient, 4.6.0  レコメンデーション：  System.Data.SqlClient, 4.9.0"
