イシュー ID,説明,状態,重要度,ストーリー ポイント,プロジェクト パス,場所の種類,パス,線,列,インシデント ID,ヘルプ リンク,アセンブリ名,アセンブリ バージョン,アセンブリ公開キー,スニペット
NuGet.0001,NuGet パッケージに互換性がありません,Active,Mandatory,1,Implem.CodeDefiner\Implem.CodeDefiner.csproj,File,Implem.CodeDefiner\Implem.CodeDefiner.csproj,,,Microsoft.VisualStudio.Azure.Containers.Tools.Targets 1.21.2,,,,,"Microsoft.VisualStudio.Azure.Containers.Tools.Targets, 1.21.2  レコメンデーション：  サポートされているバージョンが見つかりません"
Project.0002,プロジェクトのターゲット フレームワークを変更する必要がある,Active,Mandatory,1,Implem.CodeDefiner\Implem.CodeDefiner.csproj,File,Implem.CodeDefiner\Implem.CodeDefiner.csproj,,,,,,,,現在のターゲット フレームワーク: net8.0 推奨されるターゲット フレームワーク: net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Implem.CodeDefiner\Implem.CodeDefiner.csproj,File,Implem.CodeDefiner\Functions\Rds\TablesConfigurator.cs,96,16,P:System.Data.SqlClient.SqlException.Number,,,,,"Consoles.Write($""[{e.Number}] [{nameof(ConfigureFullTextIndexPostgreSql)}]: {e}"", Consoles.Types.Error);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Implem.CodeDefiner\Implem.CodeDefiner.csproj,File,Implem.CodeDefiner\Functions\Rds\TablesConfigurator.cs,75,16,P:System.Data.SqlClient.SqlException.Number,,,,,"Consoles.Write($""[{e.Number}] [{nameof(ConfigureFullTextIndexSqlServer)}]: {e}"", Consoles.Types.Error);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Implem.CodeDefiner\Implem.CodeDefiner.csproj,File,Implem.CodeDefiner\Functions\Rds\TablesConfigurator.cs,24,20,P:System.Data.SqlClient.SqlException.Number,,,,,"Consoles.Write($""[{e.Number}] {e.Message}"", Consoles.Types.Error);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Implem.CodeDefiner\Implem.CodeDefiner.csproj,File,Implem.CodeDefiner\Functions\Rds\Configurator.cs,130,20,T:System.Data.SqlClient.SqlConnectionStringBuilder,,,,,database = new SqlConnectionStringBuilder(Parameters.Rds.SaConnectionString).InitialCatalog;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Implem.CodeDefiner\Implem.CodeDefiner.csproj,File,Implem.CodeDefiner\Functions\Rds\Configurator.cs,130,20,M:System.Data.SqlClient.SqlConnectionStringBuilder.#ctor(System.String),,,,,database = new SqlConnectionStringBuilder(Parameters.Rds.SaConnectionString).InitialCatalog;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Implem.CodeDefiner\Implem.CodeDefiner.csproj,File,Implem.CodeDefiner\Functions\Rds\Configurator.cs,130,20,P:System.Data.SqlClient.SqlConnectionStringBuilder.InitialCatalog,,,,,database = new SqlConnectionStringBuilder(Parameters.Rds.SaConnectionString).InitialCatalog;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Implem.CodeDefiner\Implem.CodeDefiner.csproj,File,Implem.CodeDefiner\Functions\Rds\Configurator.cs,129,20,T:System.Data.SqlClient.SqlConnectionStringBuilder,,,,,serverName = new SqlConnectionStringBuilder(Parameters.Rds.SaConnectionString).DataSource;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Implem.CodeDefiner\Implem.CodeDefiner.csproj,File,Implem.CodeDefiner\Functions\Rds\Configurator.cs,129,20,M:System.Data.SqlClient.SqlConnectionStringBuilder.#ctor(System.String),,,,,serverName = new SqlConnectionStringBuilder(Parameters.Rds.SaConnectionString).DataSource;
